,
Rab,Sab
7110,2192
1306,3648
5007,6432
1507,410
1697,3864
2539,6809
8048,7297
6045,6249
8160,4485
7306,824
616,4156
9338,2078
7056,1344
4113,5271
9805,2897
4946,362
8784,4915
2276,4098
2988,9236
7708,7164
9508,5015
5673,7629
2201,9173
5819,8367
4278,2719
8428,4048
8794,5129
5519,8579
1055,6945
3794,8757
8605,2805
5521,1282
3117,2869
125,6213
4169,4635
7962,7687
783,1355
5963,941
2087,9435
5651,3291
9569,8902
9620,7863
,
Rab,Sab
7208,9232
3771,748
7587,3681
7136,2938
6307,1885
6715,3269
5095,1197
9658,5913
8404,742
6949,8807
3604,9439
1085,8245
533,692
6704,3120
3414,3574
9080,1843
2087,3039
4013,4719
7239,5487
1931,1622
7545,3749
9366,3212
8926,7498
3768,2452
8908,51
1378,5814
1783,6167
8746,8472
5127,3191
423,8332
6787,4201
4027,964
1266,2391
8505,7296
8177,5937
8971,4651
3570,7185
9822,7823
9015,1699
3501,643
9126,4121
5567,3306
2610,8151
9076,5204
3143,4192
7617,2895
49,8756
4043,8104
9929,9096
4565,4315
988,2008
878,1438
8708,2173
,
Rab,Sab
6115,9159
1938,3610
608,7087
3880,4528
1363,2047
5530,7068
5403,2982
6090,1074
9157,1824
1057,3170
8750,3560
8334,574
2388,5693
8219,490
149,7453
3610,8312
5485,1169
1094,4724
180,7608
8736,3060
7656,1229
3463,9589
2638,4035
8669,1471
6607,2551
767,5716
9983,8238
2066,1597
3098,2756
8421,8780
1369,2319
1920,4297
1900,3644
394,8062
4996,5054
6075,7401
3802,678
5890,2945
1792,7282
5145,8426
7742,5468
7132,7634
354,6235
3103,4757
6823,9165
4569,1428
5930,2920
388,7890
5503,1168
4588,9022
7308,3201
3695,1301
,
Rab,Sab
9735,5248
5369,3899
5885,7037
575,643
96,789
658,1755
6808,3342
113,3205
1721,2747
3967,2326
7319,6049
9103,8696
5790,996
6231,7395
6066,5080
622,7984
2989,2734
9024,6221
308,4389
8604,7580
1163,2559
8341,663
2741,634
1816,4476
8242,199
599,7521
4531,9778
2308,2232
9688,44
6555,6
4584,2316
9389,9479
3374,9539
157,3467
8902,2140
6188,151
635,431
3028,3181
8948,4535
456,5446
6504,9423
1364,6361
7567,1399
2834,782
9005,9832
176,1295
7394,6046
9795,4615
3023,6719
19,260
1870,2646
678,5663
,
Rab,Sab
6472,4130
7946,8262
6341,2477
9328,6801
2654,7320
8084,4185
7289,286
6625,7893
2521,2182
4009,4319
7826,3874
3336,1894
8822,4861
977,655
4510,8711
8007,2177
9736,7111
13,8038
2495,4239
9795,5672
3579,6344
1429,9898
3736,1165
7695,4504
8206,2772
7383,504
2352,5706
903,540
5878,2402
260,235
4206,1985
5936,7359
9948,7970
6978,5940
614,5112
7208,1290
5291,8967
3965,8970
4254,7713
1090,9784
7434,7893
977,8311
6235,5836
9261,8118
648,3851
4782,4757
6356,6944
1777,8345
5379,2620
9386,1761
5102,4237
6871,1734
,
Rab,Sab
9229,9266
3179,351
8020,2443
356,3514
1597,6968
9039,6780
1667,621
9561,8184
1268,3742
6228,1928
6082,5394
2981,6983
4428,2076
5734,3046
9163,4671
4236,5911
4503,6851
5382,7489
2070,7523
6297,8738
96,4412
2465,2214
829,1760
839,6529
8155,2536
1113,8918
7688,6084
1601,5473
3570,8920
6370,8979
7925,2785
8005,3231
3892,469
1990,1091
1299,2291
9938,6045
98,901
4662,3483
7186,2144
1225,9222
2834,899
6730,7263
8810,9670
4809,7439
4816,5312
1012,9766
7465,5725
954,6372
533,6200
9001,8338
2767,1016
8870,9120
,
Rab,Sab
4851,6292
7479,9438
5271,6782
5631,2789
9090,4076
3867,3795
949,9420
7008,9488
3243,3618
8761,3169
6415,7212
2949,4027
2605,6750
3115,9327
2686,6015
4450,5006
1779,7339
6190,5925
1894,3240
7278,8738
6793,9265
9776,6872
2119,1417
478,2396
1794,9077
4592,6480
4771,3602
3959,6764
2121,2842
9813,2309
2017,3681
4019,363
181,920
3882,1732
3875,4382
8250,1201
4026,4794
5843,1208
8806,6657
7990,4683
3495,8134
5980,9422
3804,7824
4733,5562
3760,9934
9327,3194
7067,2179
4739,2991
7521,4278
7621,8471
4475,6126
3306,787
,
Rab,Sab
2954,4791
2662,7208
7654,9240
9396,5562
4585,7123
6117,5331
9973,5009
6295,6337
2030,1579
8499,3697
2083,4782
4627,7587
3101,6814
4653,1429
3678,169
8028,6546
4237,4739
3017,5098
6371,4710
1295,5983
2701,8177
5124,7089
4611,3591
3458,5601
3462,5334
4502,2830
703,6025
3461,874
6923,2703
954,9622
5227,421
6755,9476
503,508
5277,2704
3684,1367
2393,3274
9446,7627
791,1906
8159,9083
1272,3841
9595,2542
1410,26
6862,2849
4234,7245
3138,5850
7526,4608
9969,8507
195,2853
7076,4904
1748,4011
9716,6946
8891,5748
5186,9678
,
Rab,Sab
3387,2712
6376,6143
312,4368
9324,3018
9629,2519
4438,9934
6943,2837
4881,7982
9867,3941
1542,8011
6229,5997
162,2236
7299,4293
2072,1407
9450,4465
6287,7830
7989,4410
2801,6354
5187,4124
6438,9147
3996,9353
7624,9447
1630,3226
8138,7496
8350,1920
4492,8040
6104,7609
725,5267
1634,6182
7892,3212
6760,1280
4533,1393
8074,1490
498,7116
9647,4525
2774,8508
5714,4194
9544,9792
3140,8098
9560,390
4240,5671
9079,1359
3113,1403
1362,5260
9581,8608
1380,4074
3868,4900
8423,896
5569,2865
9221,2538
4598,6159
9006,2704
,
Rab,Sab
3045,9781
5046,3900
2576,4689
6964,8648
3858,4705
3116,2879
1695,7583
919,1422
3074,3573
9619,4802
9378,540
3723,4931
6818,1065
9150,373
9761,3832
4308,3237
2681,506
3650,2526
2619,3570
1839,2791
654,8694
5721,6948
7631,4264
4871,9672
277,2086
3683,6021
1120,3890
2047,4986
3482,2951
7228,2625
4151,8544
5813,385
324,1643
8710,9077
4227,6017
9825,8769
8348,9849
4214,5648
27,6639
7179,4961
3435,8741
8250,4063
3752,6937
5879,2190
5277,8992
7070,5902
3872,6834
5170,9231
4308,371
6650,
